Name,Discipline
ABELE Agita,Figure Skating
AHN Na Young,Figure Skating
ANDREEVA Julia,Figure Skating
BAKKER Ernestien,Figure Skating
BENSON Cynthia,Figure Skating
BIANCHETTI Fabio,Figure Skating
BINDER Elisabeth,Figure Skating
BRAMBATI Claudia,Figure Skating
BUTTARELLI Marco,Figure Skating
CESARO Michela,Figure Skating
DERBY Andrea,Figure Skating
FANG Dan,Figure Skating
FOMINA Elena,Figure Skating
GRAHAM Peggy,Figure Skating
HOUGHTON Patricia,Figure Skating
HUNTER Janice,Figure Skating
JUST Bernhard,Figure Skating
KANTOR Anna,Figure Skating
KLIUSHNIKOV Yury,Figure Skating
KOZHEMYAKINA Olga,Figure Skating
KRAUZIENE Laimute,Figure Skating
KUBOTA Masako,Figure Skating
KULIK Zanna,Figure Skating
LAKERNIK Alexander,Figure Skating
LEBLANC-RICHARD Nicole,Figure Skating
LEE Jung Sue,Figure Skating
LEROY Anthony,Figure Skating
LUEDERS Wieland,Figure Skating
LUNDGREN Kristina,Figure Skating
LUNDMARK Marie,Figure Skating
MAEDA Mami,Figure Skating
MAKAROVA Anastassiya,Figure Skating
MARTINEZ Sasha,Figure Skating
MAST Jennifer,Figure Skating
MISUREC Miroslav,Figure Skating
MOLINA David,Figure Skating
MUNOZ David,Figure Skating
NORDBACK Asa,Figure Skating
OKABE Yukiko,Figure Skating
OLOZAGARRE Marta,Figure Skating
PRINS Jeroen,Figure Skating
RIST Anja,Figure Skating
RISTANEN Tarja,Figure Skating
RUSSELL Nicholas,Figure Skating
SAARELAINEN Mika,Figure Skating
SAKAI Hiroya,Figure Skating
SEROVA Ekaterina,Figure Skating
SMIDOVA Stanislava,Figure Skating
SOBKOW Malgorzata,Figure Skating
STAHNKE Claudia,Figure Skating
VIKARNE-HOMOLYA Zsuzsanna,Figure Skating
WANG Yu,Figure Skating
WANG Yumin,Figure Skating
YANG Fan,Figure Skating
ZAYDMAN Albert,Figure Skating
ZVIRIK Kadi,Figure Skating
